GRB_x,z,GRB_clean,GRB_y,Time [UT],Trigger Number,BAT RA (J2000),BAT Dec (J2000),BAT T90 [sec],BAT Fluence (15-150 keV) [10^-7 erg/cm^2],XRT RA (J2000),XRT Dec (J2000),XRT Time to First Observation [sec],XRT Early Flux (0.3-10 keV) [10^-11 erg/cm^2/s],UVOT RA (J2000),UVOT Dec (J2000),UVOT Time to First Observation [sec],UVOT Magnitude,Other Observatory Detections,Redshift,Host Galaxy,Comments,References,T90,T90_corr
260101A,2.623,260101A,260101A,00:56:30,1429608,86.442,63.583,48.00,45,05:45:42.93,63:35:32.5,84.66,,05:45:42.96,63:35:32.1,144,V=16.17,"Fermi (GBM), LCO (1m), GTC, SVOM/GRM, NOT, GECAM-B, COLIBRÃ, Konus-Wind, 239Alferov CubeSat",2.623 (GTC: absorption)|2.623 (NOT: absorption),,,"BAT: GCN 43285; GCN 43354|XRT: GCN 43285; GCN 43289; GCN 43291; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 43285; GCN 43318|Redshift: GCN 43287 (GTC); GCN 43293 (NOT)",48.0,13.248688931824454
251126A,3.6,251126A,251126A,19:10:36,1417793,99.939,54.989,9.00,4.4,06:39:46.39,54:59:10.6,81.66,,,,86,V=18.7,"GIT (70cm), Nanshan/HMT (0.5m), Asiago, Kilonova-Catcher, COLIBRÃ, LCO (1m), DFOT (1.3m), NOT, MITSuME (50cm), Mondy/AZT-33IK, SAO/Zeiss-1000, MAO/AZT-22, NUTTelA-TAO, OHP/T193, SVOM/VT",3.52 (COLIBRÃ: photometric)|~3.6 (OHP/T193: tentative),,,"BAT: GCN 42843; GCN 42876|XRT: GCN 42843; GCN 42845; GCN 42851; GCN 42860; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 42863|Redshift: GCN 42855 (COLIBRÃ); GCN 42871 (OHP/T193)",9.0,1.956521739130435
251017A,4.327,251017A,251017A,08:40:44,1404904,335.404,7.048,116.90,12,22:21:36.32,07:02:24.3,109.53,203,22:21:36.24,07:02:23.6,98,V>18.8,"BOOTES-5/JG, COLIBRÃ, MITSuME (50cm), JinShan, Glowbug, Palomar (1m), OHP/T193, SVOM (VT), VLT, Belesta Observatory (820mm), INASAN-Kislovodsk, Mondy AZT-33IK (1.5m), Koshka Zeiss-1000 (1m)",4.34 (COLIBRÃ: photometric)|4.327 (VLT: absorption),,,"BAT: GCN 42322; GCN 42366|XRT: GCN 42322; GCN 42326; GCN 42347; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 42322; GCN 42355|Redshift: GCN 42348 (COLIBRÃ); GCN 42350 (VLT)",116.9,21.944809461235216
250925A,4.2,250925A,250925A,17:04:26,1352124,341.207,46.549,64.51,27,22:44:51.31,46:33:20.5,3700,,,,3740,V>19.94,"NOT, Liverpool (2m), Virtual Telescope Project (14""), COLIBRÃ, OSN (1.5m), GTC (10.4m), JinShan (100cm), Einstein Probe (WXT), Mondy (AZT-33IK 1.5m), AbAO (AS-32 0.7m), MAO/AZT-22 (1.5m)",3.899 (GTC: absorption)|4.20 (COLIBRÃ: photometric),,"Due to an observing constraint, Swift did not slew.|UVOT: no detection","BAT: GCN 41985; GCN 42006|XRT: GCN 41988; GCN 42017; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 42007|Redshift: GCN 41997 (GTC); GCN 42004 (COLIBRÃ)",64.51,12.40576923076923
250920C,1.399,250920C,250920C,15:25:17,1351039,51.465,-29.646,38.02,130,03:25:51.73,-29:39:19.1,123.78,150,03:25:51.76,-29:39:20.2,124,V=14.56,"Fermi (GBM), GOTO, LCOGT (1m), LCO (1m), GROWTH-India (0.7m), GTC (10.4m), SVOM (GRM), PRIME, COLIBRÃ, SALT, VLT, KAIT (0.76m), Konus-Wind, TRT (0.7m), Kilonova-Catcher",1.40 (GTC: absorption)|1.399 (SALT: absorption)|1.399 (VLT: absorption),,,"BAT: GCN 41904; CGN 41924|XRT: GCN 41904; GCN 41922; GCN 41935; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 41920|Redshift: GCN 41928 (GTC); GCN 41952 (SALT); GCN 41955 (VLT)",38.02,15.848270112546896
250322A,0.4215,250322A,250322A,16:06:12,1297832,106.775,7.197,0.62,1.5,07:07:02.52,07:11:35.3,72.60,,,,77,V>18.9,"AstroSat CZTI, Konus-Wind",0.42 (Gemini-North: emission from likely host)|0.4215 (VLT: emission from likely host),,UVOT: no detection,"BAT: GCN 39835; GCN 39867|XRT: GCN 39835; GCN 39841; GCN 39855; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 39835; GCN 39861|Redshift: GCN 39852 (Gemini-North); GCN 39859 (VLT)|Host: GCN 39852 (Gemini-North); GCN 39859 (VLT)",0.62,0.4361589869855786
250129A,2.15,250129A,250129A,04:45:09,1285812,198.708,5.029,262.25,50,13:14:42.34,05:01:50.8,158.60,1180,13:14:42.41,05:01:50.3,1185,V=17.24,"MASTER-OAFA, VLT, GOTO, NOT, LCO (1m), LCOGT (0.4m), OHP/T193, REM (60cm), KAIT (0.76m), Skynet, GRANDMA/TAROT, AKO (0.36m), TNG (3.6m), Liverpool (2m), iTelescope, COLIBRÃ, Konkoly (RC80), SAO RAS (1m), Calapai Observatory (11""), DFOT (1.3m), Konus-Wind, SVOM/C-GFT, 7-Dimensional Telescopes, AbAO AS-32 (0.7m), Mondy AZT-33IK (1.5m), ABObservatory (30cm)",2.151 (VLT: absorption)|2.15 (NOT: absorption)|2.15 (OHP/T193: absorption),,,"BAT: GCN 39066; GCN 39147|XRT: GCN 39066; GCN 39082; GCN 39089; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 39066; GCN 39085|Redshift: GCN 39071 (VLT); GCN 39073 (NOT); GCN 39078 (OHP/T193)",262.25,83.25396825396825
250101A,2.481,250101A,250101A,13:22:50,1278305,37.057,19.181,34.19,6.3,02:28:16.52,19:11:40.0,127.42,,02:28:16.47,19:11:39.6,133,V=18.10,"GMG (2.4m), GIT (0.7m), Nanshan/HMT (0.5m), MASTER, SVOM/C-GFT, Xinglong (2.16m), SAO RAS (1m), AKO (0.36m), BOOTES-4/MET, OASDG (0.5m), LCOGT (40cm), Montarrenti Observatory (0.53m), Mephisto (1.6m), NUTTelA-TAO/BSTI, LCOGT (1m), Liverpool (2m), DFOT (1.3m), NUTTelA-TAO, REM (60cm), Terskol K-800 (0.8m), CMO RC-500 (0.5m), Terskol Zeiss-2000 (2m), Calapai Observatory (11"")",2.49 (Xinglong: absorption)|2.481 (GMG: absorption),,,"BAT: GCN 38752; GCN 38782|XRT: GCN 38752; GCN 38761; GCN 38773; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 38752; GCN 38775|Redshift: GCN 38759 (Xinglong); GCN 38776 (GMG)",34.19,9.821890261419131
241030A,1.4,241030A,241030A,05:48:03,1263718,343.216,80.438,173.3,273,22:52:33.35,80:26:59.1,73.53,1290,22:52:33.47,80:26:59.8,83,V=13.71,"Fermi (GBM & LAT), COLIBRÃ (SVOM/F-GFT), LCOGT (40cm), Keck (10m), TRT (0.7m), MITSuME (50cm), SVOM/VT, Mephisto (1.6m), SVOM/GRM, AKO (0.36m), Konus-Wind, ATLAS, SAO RAS (1m), Fraunhofer Telescope Wendelstein, Palomar (1m), Einstein Probe, GMG (2.4m), Virtual Telescope Project (17""), TNOT (0.8m), OHP/T193, Kinder, GRBAlpha, INAF Asiago Observatory, TESS, Sun Yat-sen University (80cm)",1.411 (Keck: absorption)|~1.4 (GMG: absorption),,,"BAT: GCN 37956; GCN 38010|XRT: GCN 37956; GCN 37962; GCN 37988; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 37956; GCN 37974; GCN 38055|Redshift: GCN 37959 (Keck); GCN 38027 (GMG)",173.3,72.20833333333334
241026A,2.791,241026A,241026A,22:42:32,1262764,293.425,57.996,25.2,25,19:33:36.14,57:59:09.7,114.45,,,,118,V>19.8,"Fermi (GBM), SAO RAS (1m), COLIBRÃ (SVOM/F-GFT), KAIT (0.76m), Las Cumbres (1m), BTA (6m), GROWTH-India, SVOM/GRM, Zeiss-100, GECAM-B, LBT, TNOT (0.8m), GRBAlpha, SAO RAS, LBT, SAO RAS (6m), VLA @ (6, 10 and 15 GHz)",2.79 (BTA: absorption)|2.791 (LBT: absorption),,UVOT: no detection,"BAT: GCN 37896; GCN 37971|XRT: GCN 37896; GCN 37897; GCN 37904; GCN 37908; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 37896; GCN 37947|Radio: GCN 38320 (VLA)|Redshift: GCN 37916 (BTA); GCN 37925 (LBT)",25.2,6.647322606172514
