GRB,GRB_key,T90,z,T90_corr,z_status,z_source,z_raw,BAT_fluence,Time [UT],Trigger Number,Other Observatory Detections,z_method,z_uncertainty,z_ref,z_swift_raw,z_redshift_raw
111005A,111005A,26.0,0.01326,25.659751692556696,review_numeric,redshift_list,0.01326(?),6.2,08:05:14,504779,ATCA @ 18 GHz,redshift from the known galaxy,N/A,"""Levan et al. GCN Circ. 12414""",,0.01326(?)
171205A,171205A,189.4,0.037,182.64223722275798,accepted,redshift_list,0.037,36.0,07:20:43,794972,"VLT, HJT (1.5m), GMG (2.4m), NOEMA @ 150GHz, LSGT (0.43m), TNG (3.6m), GOTO, CTIO (1.3m), CHILESCOPE (1m), LCO (1m), MPG (2.2m), MASTER-SAAO, GTC (10.4m), TSHAO (1m), UKIRT (3.8m), VLA @ 6 GHz, SAO-RAS, Mondy (AZT-33IK), iTelescope (0.43m), MASTER-Net, Konus-Wind, JCMT, ALMA @ 92 and 340 GHz, RATAN @ 4.7 and 8.2 GHz, GMRT @ 1400 MHz, VLBA @ 4.4 GHz, eMERLIN @ 5.1 GHz, ATCA @ 2.1, 5.5, & 9.0 GHz",he (also ba),N/A,Izzo et al. GCN Circ. 22180,0.0368 (VLT: emission & absorption),0.037
190829A,190829A,58.2,0.0785,53.96383866481224,accepted,redshift_list,0.0785,64.0,19:56:44.60,922968,"Fermi (GBM), Dabancheng (0.5m), MASTER-Kislovodsk, GROWTH-India, NOT, GTC (10.4m), H.E.S.S., MPG (2.2m), AGILE, KAIT (0.76m), MMT (6.5m), UKIRT, Liverpool (2m), NOEMA @ 90 GHz, TNG (3.6m), Keck I, uGMRT (1050-1450 MHz), MeerKAT @ 1.3 GHz, LCO (1m), GROND, MASTER-SAAO, Konus-Wind, Stroncone Observatory (50cm), ATCA at 5.5 GHz, ZTSh (2.6m)",ba he,+0.005 -0.005,*Valeev et al. GCN Circ. 25565 (GTC); De et al. GCN Circ. 25595 (Keck),0.0785 (GTC: absorption & emission from SDSS J025810.28-085719.2)| 0.078 (Keck I: emission from host),0.0785
051109B,051109B,14.3,0.08,13.24074074074074,accepted,redshift_list,0.080,2.56,08:39:39,163170,Keck I,he,N/A,"""Perley D.A. et al. GCN Circ. 5387""",0.080 (Keck I: emission),0.080
080517,080517,64.6,0.089,59.32047750229568,accepted,redshift_list,0.089,5.6,21:22:51,311874,,he,+0.003 -0.003,"""Stanway et al. MNRAS 446 3911 (2015)""",,0.089
230328B,230328B,19.23,0.09,17.642201834862384,accepted,redshift_list,0.09,43.0,14:54:48,1162001,"Fermi (GBM), AZT-33IK (Mondy), AS-32 (Abastumani), AstroSat CZTI, OASDG (0.5m), GROWTH-India, OHP/T120, Liverpool (2m), NUTTelA-TAO (BSTI), GRBAlpha, Konus-Wind, DOT (3.6m), CAHA/CAFOS (2.2m), GRANDMA/Kilonova-Cacther, ISON-Multa/Santel-400 (0.4m)",ba,N/A,Minaev et al. GCN Circ. 33609,Minimal possible redshift value of z = 0.09,0.09
100628A,100628A,0.036,0.102,0.032667876588021776,accepted,redshift_list,0.102,0.25,08:16:40,426114,INTEGRAL,he,N/A,"""Cenko S.B. et al. GCN Circ. 10946""",,0.102
061201,061201,0.76,0.111,0.684068406840684,accepted,swift_table,"0.111 (Magellan, from probable host)",3.34,15:58:37,241840,"VLT, Konus-Wind, SOAR",he,N/A,"""Ref 1: Blondin et al. GCN Circ. 5944; Ref 2: Berger et al. GCN Circ. 5952""","0.111 (Magellan, from probable host)",0.0865 (ref 1) or 0.111 (ref 2) (?)
180728A,180728A,8.68,0.117,7.770814682184422,accepted,redshift_list,0.117,296.0,17:29:00,850471,"MASTER-SAAO, Fermi (GBM), VLT, Konus-Wind, Astrosat (CZTI)",ba,N/A,Rossi et al. GCN Circ. 23055 (VLA/X-shooter),0.117 (VLT: absorption),0.117
080905A,080905A,1.0,0.1218,0.8914244963451596,accepted,redshift_list,0.1218,1.4,11:58:54,323870,"NOT, VLT, Fermi (GBM)",he,+0.0003 -0.0003,"""Rowlinson A. et al. MNRAS 408 383(2010)""",0.1218 (emission from host),0.1218
